striker,bowling_team,runs_scored,balls_faced,dismissals,strike_rate,average
AM Samad,England,36,70,1,51.42857142857142,36.0
AM Samad,Kenya,44,57,1,77.19298245614034,44.0
AM Samad,Netherlands,44,77,1,57.14285714285714,44.0
AM Samad,New Zealand,21,38,1,55.26315789473685,21.0
AM Tribe,Namibia,3,14,1,21.428571428571427,3.0
AM Tribe,Papua New Guinea,115,143,0,80.41958041958041,
AM Tribe,United Arab Emirates,40,49,1,81.63265306122449,40.0
AM Tribe,United States of America,75,104,1,72.11538461538461,75.0
AN Cook,Australia,319,432,10,73.8425925925926,31.9
AN Cook,Bangladesh,156,176,3,88.63636363636364,52.0
AN Cook,India,822,1091,27,75.34372135655362,30.444444444444443
AN Cook,New Zealand,464,633,12,73.30173775671406,38.666666666666664
AN Cook,Pakistan,323,366,4,88.25136612021858,80.75
AN Cook,Scotland,44,48,1,91.66666666666666,44.0
AN Cook,South Africa,89,168,5,52.976190476190474,17.8
AN Cook,Sri Lanka,809,1096,19,73.8138686131387,42.578947368421055
AN Cook,West Indies,178,228,5,78.0701754385965,35.6
AN Kervezee,Afghanistan,83,64,0,129.6875,
AN Kervezee,Australia,0,2,1,0.0,0.0
AN Kervezee,Bangladesh,18,24,1,75.0,18.0
AN Kervezee,Bermuda,12,22,1,54.54545454545454,12.0
AN Kervezee,England,16,25,1,64.0,16.0
AN Kervezee,India,11,23,2,47.82608695652174,5.5
AN Kervezee,Ireland,12,16,1,75.0,12.0
AN Kervezee,South Africa,27,72,2,37.5,13.5
AN Kervezee,West Indies,14,20,1,70.0,14.0
AN Petersen,Bangladesh,24,54,1,44.44444444444444,24.0
AN Petersen,England,166,185,2,89.72972972972974,83.0
AN Petersen,India,18,38,2,47.368421052631575,9.0
AN Petersen,Sri Lanka,121,153,6,79.08496732026144,20.166666666666668
AN Petersen,West Indies,17,33,2,51.515151515151516,8.5
AN Petersen,Zimbabwe,152,147,4,103.4013605442177,38.0
AO Suji,Australia,1,2,1,50.0,1.0
AO Suji,Bermuda,15,26,1,57.692307692307686,15.0
AO Suji,England,14,29,1,48.275862068965516,14.0
AO Suji,Scotland,3,7,1,42.857142857142854,3.0
AO Suji,Sri Lanka,9,29,1,31.03448275862069,9.0
AP Devcich,Bangladesh,87,114,3,76.31578947368422,29.0
AP Devcich,India,18,17,2,105.88235294117648,9.0
AP Devcich,Pakistan,84,113,3,74.33628318584071,28.0
AP Devcich,Sri Lanka,6,18,3,33.33333333333333,2.0
AR Adams,Australia,0,6,1,0.0,0.0
AR Adams,Bangladesh,22,29,2,75.86206896551724,11.0
AR Adams,Canada,36,21,1,171.42857142857142,36.0
AR Adams,India,35,27,1,129.62962962962962,35.0
