striker,bowling_team,runs_scored,balls_faced,dismissals,strike_rate,average
DA Marillier,Australia,0,1,1,0.0,0.0
DA Marillier,England,0,6,1,0.0,0.0
DA Marillier,Kenya,121,182,2,66.48351648351648,60.5
DA Marillier,Netherlands,1,2,1,50.0,1.0
DA Marillier,Pakistan,73,99,2,73.73737373737373,36.5
DA Marillier,South Africa,3,12,1,25.0,3.0
DA Marillier,Sri Lanka,51,53,2,96.22641509433963,25.5
DA Miller,Australia,915,894,16,102.34899328859059,57.1875
DA Miller,Bangladesh,186,212,5,87.73584905660378,37.2
DA Miller,England,367,298,5,123.15436241610738,73.4
DA Miller,India,490,521,17,94.04990403071018,28.823529411764707
DA Miller,Ireland,84,66,2,127.27272727272727,42.0
DA Miller,Netherlands,103,81,2,127.16049382716051,51.5
DA Miller,New Zealand,270,290,11,93.10344827586206,24.545454545454547
DA Miller,Pakistan,507,614,18,82.57328990228014,28.166666666666668
DA Miller,Sri Lanka,477,490,10,97.34693877551021,47.7
DA Miller,United Arab Emirates,49,50,1,98.0,49.0
DA Miller,West Indies,352,325,6,108.3076923076923,58.666666666666664
DA Miller,Zimbabwe,290,216,3,134.25925925925927,96.66666666666667
DA Minors,Bangladesh,23,25,1,92.0,23.0
DA Minors,Canada,41,77,3,53.246753246753244,13.666666666666666
DA Minors,India,21,36,1,58.333333333333336,21.0
DA Minors,Netherlands,15,35,2,42.857142857142854,7.5
DA Minors,Sri Lanka,4,3,1,133.33333333333331,4.0
DA Warner,Afghanistan,291,270,2,107.77777777777777,145.5
DA Warner,Bangladesh,206,195,1,105.64102564102565,206.0
DA Warner,England,884,977,27,90.48106448311157,32.74074074074074
DA Warner,India,1118,1177,23,94.98725573491929,48.608695652173914
DA Warner,Ireland,132,113,2,116.8141592920354,66.0
DA Warner,New Zealand,639,668,15,95.65868263473054,42.6
DA Warner,Pakistan,676,740,13,91.35135135135135,52.0
DA Warner,Scotland,21,7,0,300.0,
DA Warner,South Africa,1213,1202,28,100.91514143094842,43.32142857142857
DA Warner,Sri Lanka,779,948,23,82.17299578059072,33.869565217391305
DA Warner,West Indies,218,259,6,84.16988416988417,36.333333333333336
DA Warner,Zimbabwe,164,174,3,94.25287356321839,54.666666666666664
DAJ Bracewell,Australia,2,5,1,40.0,2.0
DAJ Bracewell,India,94,127,3,74.01574803149606,31.333333333333332
DAJ Bracewell,Netherlands,63,60,2,105.0,31.5
DAJ Bracewell,South Africa,13,23,2,56.52173913043478,6.5
DAJ Bracewell,Sri Lanka,30,35,1,85.71428571428571,30.0
DAJ Bracewell,West Indies,10,11,1,90.9090909090909,10.0
DAJ Bracewell,Zimbabwe,9,18,1,50.0,9.0
DAS Gunaratne,Bangladesh,119,146,5,81.5068493150685,23.8
DAS Gunaratne,India,85,104,2,81.73076923076923,42.5
DAS Gunaratne,New Zealand,17,32,1,53.125,17.0
DAS Gunaratne,Pakistan,27,48,1,56.25,27.0
DAS Gunaratne,South Africa,186,212,3,87.73584905660378,62.0
DAS Gunaratne,West Indies,24,32,2,75.0,12.0
DAS Gunaratne,Zimbabwe,117,169,4,69.23076923076923,29.25
DB Kotze,Australia,10,14,1,71.42857142857143,10.0
DB Kotze,England,7,14,1,50.0,7.0
DB Kotze,India,27,50,1,54.0,27.0
DB Kotze,Netherlands,25,29,1,86.20689655172413,25.0
DB Kotze,Pakistan,8,25,1,32.0,8.0
DB Kotze,Zimbabwe,5,3,0,166.66666666666669,
DBL Powell,Australia,38,51,4,74.50980392156863,9.5
DBL Powell,England,1,9,2,11.11111111111111,0.5
DBL Powell,India,1,9,2,11.11111111111111,0.5
DBL Powell,New Zealand,1,5,2,20.0,0.5
DBL Powell,Pakistan,13,20,3,65.0,4.333333333333333
DBL Powell,South Africa,48,40,2,120.0,24.0
DBL Powell,Sri Lanka,2,4,1,50.0,2.0
DBL Powell,Zimbabwe,1,1,0,100.0,
DC Drakes,India,3,5,1,60.0,3.0
DC Drakes,United Arab Emirates,8,13,1,61.53846153846154,8.0
DC Thomas,Australia,48,61,5,78.68852459016394,9.6
DC Thomas,Bangladesh,92,164,7,56.09756097560976,13.142857142857142
DC Thomas,England,9,21,1,42.857142857142854,9.0
DC Thomas,India,2,8,1,25.0,2.0
DC Thomas,Ireland,2,8,1,25.0,2.0
DC Thomas,Netherlands,13,14,1,92.85714285714286,13.0
DC Thomas,New Zealand,57,75,2,76.0,28.5
DC Thomas,Pakistan,0,1,1,0.0,0.0
DC Thomas,South Africa,15,27,1,55.55555555555556,15.0
DCC Borden,Bangladesh,2,12,1,16.666666666666664,2.0
DCC Borden,Canada,2,5,1,40.0,2.0
DCC Borden,India,13,40,1,32.5,13.0
DCC Borden,Sri Lanka,6,27,1,22.22222222222222,6.0
DD Ebrahim,Australia,45,94,4,47.87234042553192,11.25
DD Ebrahim,Bangladesh,37,83,2,44.57831325301205,18.5
DD Ebrahim,England,68,160,7,42.5,9.714285714285714
DD Ebrahim,India,58,58,2,100.0,29.0
DD Ebrahim,Kenya,13,25,1,52.0,13.0
DD Ebrahim,Netherlands,32,43,1,74.4186046511628,32.0
DD Ebrahim,New Zealand,0,2,1,0.0,0.0
DD Ebrahim,Pakistan,144,241,4,59.75103734439834,36.0
DD Ebrahim,South Africa,67,126,2,53.17460317460318,33.5
DD Ebrahim,Sri Lanka,91,218,5,41.74311926605505,18.2
DDP D'Silva,Namibia,43,100,1,43.0,43.0
DDP D'Silva,Oman,4,9,1,44.44444444444444,4.0
DDP D'Silva,United States of America,6,14,2,42.857142857142854,3.0
DE Bernard,Australia,15,17,2,88.23529411764706,7.5
DE Bernard,Bangladesh,61,96,3,63.541666666666664,20.333333333333332
DE Bernard,India,41,68,2,60.29411764705882,20.5
DE Bernard,Pakistan,6,14,1,42.857142857142854,6.0
DE Bernard,South Africa,13,9,0,144.44444444444443,
DE Bernard,Sri Lanka,0,3,1,0.0,0.0
DE Bernard,Zimbabwe,5,18,1,27.77777777777778,5.0
DE Bollinger,England,39,37,2,105.40540540540539,19.5
DE Bollinger,India,0,1,0,0.0,
DE Bollinger,New Zealand,1,2,0,50.0,
DE Bollinger,South Africa,6,5,1,120.0,6.0
DE Bollinger,Sri Lanka,4,9,1,44.44444444444444,4.0
DE Budge,Netherlands,44,67,1,65.67164179104478,44.0
DE Budge,Oman,46,50,2,92.0,23.0
DE Budge,Papua New Guinea,72,83,1,86.74698795180723,72.0
DE Budge,United Arab Emirates,43,77,2,55.84415584415584,21.5
DE Budge,United States of America,32,34,3,94.11764705882352,10.666666666666666
DES Maxwell,Bermuda,17,18,1,94.44444444444444,17.0
DES Maxwell,Netherlands,37,27,0,137.03703703703704,
DF Watts,Afghanistan,110,186,1,59.13978494623656,110.0
DF Watts,Australia,9,26,1,34.61538461538461,9.0
DF Watts,India,6,31,1,19.35483870967742,6.0
DF Watts,Ireland,14,23,1,60.86956521739131,14.0
DF Watts,Kenya,58,71,1,81.69014084507043,58.0
DF Watts,Netherlands,19,45,3,42.22222222222222,6.333333333333333
DF Watts,South Africa,24,44,1,54.54545454545454,24.0
DG Blampied,Namibia,7,12,1,58.333333333333336,7.0
DG Blampied,United States of America,0,1,1,0.0,0.0
DG Brownlie,Australia,63,81,1,77.77777777777779,63.0
DG Brownlie,Pakistan,137,180,4,76.11111111111111,34.25
DG Brownlie,South Africa,139,195,8,71.28205128205128,17.375
DG Brownlie,West Indies,1,14,1,7.142857142857142,1.0
DG Brownlie,Zimbabwe,21,30,0,70.0,
DI Allan,Ireland,18,48,2,37.5,9.0
DI Joyce,England,0,5,1,0.0,0.0
DI Joyce,India,18,37,1,48.64864864864865,18.0
DI Joyce,South Africa,11,19,1,57.89473684210527,11.0
DJ Bravo,Australia,413,574,20,71.95121951219512,20.65
DJ Bravo,Bangladesh,39,71,3,54.929577464788736,13.0
DJ Bravo,England,651,754,16,86.3395225464191,40.6875
DJ Bravo,India,318,425,16,74.82352941176471,19.875
DJ Bravo,Ireland,35,29,1,120.6896551724138,35.0
DJ Bravo,New Zealand,356,451,10,78.93569844789357,35.6
DJ Bravo,Pakistan,243,337,14,72.10682492581603,17.357142857142858
DJ Bravo,South Africa,380,459,11,82.78867102396515,34.54545454545455
DJ Bravo,Sri Lanka,138,186,5,74.19354838709677,27.6
DJ Bravo,Zimbabwe,187,220,9,85.0,20.77777777777778
DJ Hooda,New Zealand,12,26,1,46.15384615384615,12.0
DJ Hooda,West Indies,115,128,3,89.84375,38.333333333333336
DJ Hooda,Zimbabwe,26,40,2,65.0,13.0
DJ Hussey,Afghanistan,13,19,0,68.42105263157895,
DJ Hussey,Bangladesh,35,49,2,71.42857142857143,17.5
DJ Hussey,England,357,434,9,82.25806451612904,39.666666666666664
DJ Hussey,India,251,221,2,113.57466063348416,125.5
DJ Hussey,New Zealand,115,159,6,72.32704402515722,19.166666666666668
DJ Hussey,Pakistan,56,76,4,73.68421052631578,14.0
DJ Hussey,South Africa,225,301,9,74.75083056478405,25.0
DJ Hussey,Sri Lanka,408,448,14,91.07142857142857,29.142857142857142
DJ Hussey,West Indies,211,215,8,98.13953488372093,26.375
DJ Hussey,Zimbabwe,14,9,1,155.55555555555557,14.0
DJ Malan,Australia,136,141,3,96.45390070921985,45.333333333333336
DJ Malan,Bangladesh,125,169,2,73.96449704142012,62.5
DJ Malan,India,66,76,1,86.8421052631579,66.0
DJ Malan,Ireland,24,30,1,80.0,24.0
DJ Malan,Netherlands,161,170,2,94.70588235294117,80.5
DJ Malan,New Zealand,277,270,3,102.5925925925926,92.33333333333333
DJ Malan,Pakistan,68,85,2,80.0,34.0
DJ Malan,South Africa,189,188,3,100.53191489361701,63.0
DJ Mitchell,Australia,52,87,3,59.77011494252874,17.333333333333332
DJ Mitchell,Bangladesh,112,99,0,113.13131313131312,
DJ Mitchell,England,196,193,3,101.55440414507773,65.33333333333333
DJ Mitchell,India,45,62,4,72.58064516129032,11.25
DJ Mitchell,Pakistan,369,408,7,90.44117647058823,52.714285714285715
DJ Mitchell,Scotland,74,63,0,117.46031746031747,
DJ Mitchell,Sri Lanka,53,69,2,76.81159420289855,26.5
DJ Mitchell,West Indies,124,145,3,85.51724137931035,41.333333333333336
DJ Reekers,Australia,25,20,1,125.0,25.0
DJ Reekers,Bermuda,0,2,1,0.0,0.0
DJ Reekers,Scotland,9,10,2,90.0,4.5
DJ Reekers,South Africa,4,6,0,66.66666666666666,
DJ Willey,Australia,113,126,4,89.68253968253968,28.25
DJ Willey,Bangladesh,9,34,2,26.47058823529412,4.5
DJ Willey,India,146,134,5,108.95522388059702,29.2
DJ Willey,Ireland,119,129,2,92.24806201550388,59.5
DJ Willey,New Zealand,73,52,4,140.3846153846154,18.25
DJ Willey,Pakistan,37,59,3,62.71186440677966,12.333333333333334
DJ Willey,South Africa,73,84,3,86.90476190476191,24.333333333333332
DJ Willey,Sri Lanka,7,12,1,58.333333333333336,7.0
DJ Willey,West Indies,1,3,1,33.33333333333333,1.0
DJ Worrall,South Africa,6,4,0,150.0,
DJG Sammy,Australia,355,362,13,98.06629834254143,27.307692307692307
DJG Sammy,Bangladesh,189,209,7,90.43062200956938,27.0
DJG Sammy,England,198,206,9,96.11650485436894,22.0
DJG Sammy,India,358,394,13,90.86294416243655,27.53846153846154
DJG Sammy,Ireland,94,76,2,123.6842105263158,47.0
DJG Sammy,Netherlands,6,6,1,100.0,6.0
DJG Sammy,New Zealand,136,102,4,133.33333333333331,34.0
DJG Sammy,Pakistan,176,204,7,86.27450980392157,25.142857142857142
DJG Sammy,South Africa,292,307,14,95.11400651465797,20.857142857142858
DJG Sammy,Sri Lanka,32,38,4,84.21052631578947,8.0
DJG Sammy,Zimbabwe,17,22,0,77.27272727272727,
DJM Short,England,83,101,2,82.17821782178217,41.5
DJM Short,New Zealand,5,19,1,26.31578947368421,5.0
DJM Short,South Africa,123,154,4,79.87012987012987,30.75
DK Butler,New Zealand,3,3,0,100.0,
DK Butler,Sri Lanka,13,21,0,61.904761904761905,
DL Blake,Australia,0,2,1,0.0,0.0
DL Chahar,Afghanistan,12,14,1,85.71428571428571,12.0
DL Chahar,Bangladesh,11,22,2,50.0,5.5
DL Chahar,New Zealand,12,9,1,133.33333333333331,12.0
DL Chahar,South Africa,54,37,1,145.94594594594594,54.0
DL Chahar,Sri Lanka,69,88,0,78.4090909090909,
DL Chahar,West Indies,44,47,1,93.61702127659575,44.0
DL Chahar,Zimbabwe,1,1,0,100.0,
DL Hemp,Bangladesh,0,4,1,0.0,0.0
DL Hemp,Canada,64,82,3,78.04878048780488,21.333333333333332
DL Hemp,India,76,109,0,69.72477064220183,
DL Hemp,Kenya,20,66,3,30.303030303030305,6.666666666666667
DL Hemp,Netherlands,94,119,1,78.99159663865547,94.0
DL Hemp,Sri Lanka,14,18,1,77.77777777777779,14.0
DL Vettori,Australia,399,492,21,81.09756097560977,19.0
DL Vettori,Bangladesh,182,233,7,78.11158798283262,26.0
DL Vettori,England,139,156,8,89.1025641025641,17.375
DL Vettori,India,168,224,7,75.0,24.0
DL Vettori,Ireland,5,7,1,71.42857142857143,5.0
DL Vettori,Kenya,14,7,0,200.0,
DL Vettori,Pakistan,177,190,6,93.15789473684211,29.5
DL Vettori,Scotland,8,4,0,200.0,
DL Vettori,South Africa,39,46,8,84.78260869565217,4.875
DL Vettori,Sri Lanka,192,244,10,78.68852459016394,19.2
DL Vettori,West Indies,80,94,3,85.1063829787234,26.666666666666668
DL Vettori,Zimbabwe,47,48,1,97.91666666666666,47.0
DLS van Bunge,Australia,33,33,1,100.0,33.0
DLS van Bunge,Bermuda,14,25,1,56.00000000000001,14.0
DLS van Bunge,Canada,62,79,3,78.48101265822784,20.666666666666668
DLS van Bunge,England,4,19,1,21.052631578947366,4.0
DLS van Bunge,India,62,121,1,51.2396694214876,62.0
DLS van Bunge,Ireland,11,26,1,42.30769230769231,11.0
DLS van Bunge,Pakistan,31,62,1,50.0,31.0
DLS van Bunge,Scotland,34,91,1,37.362637362637365,34.0
DLS van Bunge,South Africa,5,16,1,31.25,5.0
DLS van Bunge,Zimbabwe,37,47,2,78.72340425531915,18.5
DM Bravo,Australia,295,530,17,55.660377358490564,17.352941176470587
DM Bravo,Bangladesh,460,736,15,62.5,30.666666666666668
DM Bravo,England,177,247,6,71.65991902834008,29.5
DM Bravo,India,649,917,20,70.7742639040349,32.45
DM Bravo,Ireland,27,46,3,58.69565217391305,9.0
DM Bravo,Netherlands,30,39,1,76.92307692307693,30.0
DM Bravo,New Zealand,14,18,1,77.77777777777779,14.0
DM Bravo,Pakistan,380,663,16,57.315233785822016,23.75
DM Bravo,South Africa,291,385,7,75.58441558441558,41.57142857142857
DM Bravo,Sri Lanka,498,683,10,72.91361639824304,49.8
DM Bravo,Zimbabwe,186,211,2,88.15165876777252,93.0
DM Dupavillon,Pakistan,17,10,1,170.0,17.0
DM Richards,Bangladesh,21,43,1,48.837209302325576,21.0
DM Richards,Pakistan,1,4,1,25.0,1.0
DM Richards,South Africa,157,213,4,73.70892018779342,39.25
DM de Silva,Afghanistan,138,180,6,76.66666666666667,23.0
DM de Silva,Australia,273,356,9,76.68539325842697,30.333333333333332
DM de Silva,Bangladesh,100,148,7,67.56756756756756,14.285714285714286
DM de Silva,England,199,264,5,75.37878787878788,39.8
DM de Silva,India,169,229,7,73.7991266375546,24.142857142857142
DM de Silva,Ireland,42,40,0,105.0,
DM de Silva,Netherlands,97,122,2,79.50819672131148,48.5
DM de Silva,New Zealand,53,66,3,80.3030303030303,17.666666666666668
DM de Silva,Pakistan,6,13,2,46.15384615384615,3.0
DM de Silva,Scotland,30,41,2,73.17073170731707,15.0
DM de Silva,South Africa,384,554,17,69.31407942238266,22.58823529411765
DM de Silva,United Arab Emirates,5,5,1,100.0,5.0
DM de Silva,West Indies,148,159,5,93.08176100628931,29.6
DM de Silva,Zimbabwe,78,77,1,101.29870129870129,78.0
DN Wellalage,Afghanistan,64,64,0,100.0,
DN Wellalage,Australia,43,73,3,58.9041095890411,14.333333333333334
DN Wellalage,Bangladesh,3,3,0,100.0,
DN Wellalage,India,85,119,4,71.42857142857143,21.25
DN Wellalage,Pakistan,0,1,1,0.0,0.0
DNT Zoysa,Australia,1,5,1,20.0,1.0
DNT Zoysa,India,11,17,1,64.70588235294117,11.0
DNT Zoysa,South Africa,1,1,0,100.0,
DNT Zoysa,West Indies,9,15,1,60.0,9.0
DNT Zoysa,Zimbabwe,14,17,1,82.35294117647058,14.0
DO Obuya,Australia,12,18,2,66.66666666666666,6.0
DO Obuya,Bermuda,5,21,3,23.809523809523807,1.6666666666666667
DO Obuya,Canada,49,102,5,48.03921568627451,9.8
DO Obuya,India,3,23,0,13.043478260869565,
DO Obuya,Ireland,30,78,2,38.46153846153847,15.0
DO Obuya,New Zealand,1,6,1,16.666666666666664,1.0
DO Obuya,Pakistan,10,12,0,83.33333333333334,
DO Obuya,Scotland,43,51,2,84.31372549019608,21.5
DO Obuya,South Africa,35,64,1,54.6875,35.0
DO Obuya,Sri Lanka,57,114,2,50.0,28.5
DO Obuya,Zimbabwe,57,94,2,60.63829787234043,28.5
DOD Rikhi,Oman,3,15,2,20.0,1.5
DP Conway,Australia,72,116,3,62.06896551724138,24.0
DP Conway,Bangladesh,225,260,3,86.53846153846155,75.0
DP Conway,England,141,180,2,78.33333333333333,70.5
DP Conway,India,217,235,4,92.34042553191489,54.25
DP Conway,Pakistan,153,159,4,96.22641509433963,38.25
DP Conway,West Indies,66,96,3,68.75,22.0
DP Hyatt,Bangladesh,48,67,2,71.64179104477611,24.0
DP Hyatt,India,64,122,5,52.459016393442624,12.8
DPMD Jayawardene,Afghanistan,114,134,2,85.07462686567165,57.0
DPMD Jayawardene,Africa XI,217,217,2,100.0,108.5
DPMD Jayawardene,Australia,1365,1791,39,76.21440536013401,35.0
DPMD Jayawardene,Bangladesh,463,558,15,82.97491039426524,30.866666666666667
DPMD Jayawardene,Bermuda,85,95,1,89.47368421052632,85.0
DPMD Jayawardene,Canada,100,82,1,121.95121951219512,100.0
DPMD Jayawardene,England,1143,1364,26,83.79765395894428,43.96153846153846
DPMD Jayawardene,India,1694,2221,55,76.27194957226475,30.8
DPMD Jayawardene,Ireland,39,28,0,139.28571428571428,
DPMD Jayawardene,Kenya,5,13,1,38.46153846153847,5.0
DPMD Jayawardene,New Zealand,880,1105,26,79.63800904977376,33.84615384615385
DPMD Jayawardene,Pakistan,1014,1325,30,76.52830188679245,33.8
DPMD Jayawardene,Scotland,2,6,1,33.33333333333333,2.0
DPMD Jayawardene,South Africa,486,683,18,71.15666178623718,27.0
DPMD Jayawardene,United Arab Emirates,61,50,0,122.0,
DPMD Jayawardene,West Indies,395,520,11,75.96153846153845,35.90909090909091
DPMD Jayawardene,Zimbabwe,91,174,8,52.29885057471264,11.375
DR Brown,Australia,19,37,1,51.35135135135135,19.0
DR Brown,Kenya,8,13,1,61.53846153846154,8.0
DR Brown,Netherlands,0,1,1,0.0,0.0
DR Brown,South Africa,45,64,1,70.3125,45.0
DR Chumney,Bangladesh,28,26,1,107.6923076923077,28.0
DR Chumney,Bermuda,73,99,3,73.73737373737373,24.333333333333332
DR Chumney,England,27,52,0,51.92307692307693,
DR Chumney,Kenya,17,23,2,73.91304347826086,8.5
DR Chumney,Netherlands,44,70,1,62.857142857142854,44.0
DR Chumney,South Africa,2,16,1,12.5,2.0
DR Chumney,Sri Lanka,9,25,1,36.0,9.0
DR Chumney,West Indies,19,25,1,76.0,19.0
DR Flynn,England,83,139,5,59.71223021582733,16.6
DR Flynn,West Indies,84,108,4,77.77777777777779,21.0
DR Lockhart,Afghanistan,26,44,0,59.09090909090909,
DR Martyn,Bangladesh,179,189,3,94.70899470899471,59.666666666666664
DR Martyn,England,453,624,7,72.59615384615384,64.71428571428571
DR Martyn,ICC World XI,87,98,2,88.77551020408163,43.5
DR Martyn,India,402,534,11,75.28089887640449,36.54545454545455
DR Martyn,Namibia,35,50,2,70.0,17.5
DR Martyn,New Zealand,201,287,6,70.03484320557492,33.5
DR Martyn,Pakistan,103,149,4,69.12751677852349,25.75
DR Martyn,South Africa,193,237,8,81.43459915611815,24.125
DR Martyn,Sri Lanka,202,318,10,63.52201257861635,20.2
DR Martyn,West Indies,130,196,2,66.3265306122449,65.0
DR Martyn,Zimbabwe,254,288,3,88.19444444444444,84.66666666666667
DR Smith,Australia,181,222,7,81.53153153153153,25.857142857142858
DR Smith,Bangladesh,91,108,5,84.25925925925925,18.2
DR Smith,England,137,146,10,93.83561643835617,13.7
DR Smith,India,182,193,9,94.30051813471503,20.22222222222222
DR Smith,Ireland,73,79,2,92.40506329113924,36.5
DR Smith,New Zealand,203,229,10,88.64628820960698,20.3
DR Smith,Pakistan,79,85,6,92.94117647058823,13.166666666666666
DR Smith,South Africa,178,210,11,84.76190476190476,16.181818181818183
DR Smith,Sri Lanka,81,111,4,72.97297297297297,20.25
DR Smith,United Arab Emirates,15,9,1,166.66666666666669,15.0
DR Smith,Zimbabwe,41,38,5,107.89473684210526,8.2
DR Tuffey,Australia,114,109,5,104.58715596330275,22.8
DR Tuffey,Bangladesh,10,8,1,125.0,10.0
DR Tuffey,India,43,52,6,82.6923076923077,7.166666666666667
DR Tuffey,Pakistan,11,18,1,61.111111111111114,11.0
DR Tuffey,South Africa,4,2,1,200.0,4.0
DR Tuffey,Sri Lanka,6,11,3,54.54545454545454,2.0
DS Airee,India,29,26,1,111.53846153846155,29.0
DS Airee,Ireland,0,6,1,0.0,0.0
DS Airee,Namibia,84,117,6,71.7948717948718,14.0
DS Airee,Netherlands,14,21,1,66.66666666666666,14.0
DS Airee,Oman,65,110,4,59.09090909090909,16.25
DS Airee,Pakistan,3,11,1,27.27272727272727,3.0
DS Airee,Papua New Guinea,143,202,5,70.79207920792079,28.6
DS Airee,Scotland,125,198,5,63.13131313131313,25.0
DS Airee,United Arab Emirates,261,362,10,72.09944751381215,26.1
DS Airee,United States of America,62,59,3,105.08474576271188,20.666666666666668
DS Airee,West Indies,23,20,1,114.99999999999999,23.0
DS Airee,Zimbabwe,6,7,1,85.71428571428571,6.0
DS Kulkarni,Bangladesh,2,2,0,100.0,
DS Kulkarni,New Zealand,25,29,0,86.20689655172413,
DS Lehmann,England,75,105,2,71.42857142857143,37.5
DS Lehmann,India,19,30,1,63.33333333333333,19.0
DS Lehmann,Kenya,2,7,1,28.57142857142857,2.0
DS Lehmann,Namibia,50,31,0,161.29032258064515,
DS Lehmann,New Zealand,106,160,3,66.25,35.333333333333336
DS Lehmann,Pakistan,9,23,1,39.130434782608695,9.0
DS Lehmann,Sri Lanka,84,130,3,64.61538461538461,28.0
DS Lehmann,West Indies,219,263,5,83.26996197718631,43.8
DS Lehmann,Zimbabwe,123,121,1,101.65289256198346,123.0
DS Smith,Australia,43,54,2,79.62962962962963,21.5
DS Smith,Bangladesh,163,255,6,63.921568627450974,27.166666666666668
DS Smith,England,115,200,6,57.49999999999999,19.166666666666668
DS Smith,India,159,197,5,80.71065989847716,31.8
DS Smith,Ireland,107,135,1,79.25925925925927,107.0
DS Smith,Netherlands,53,53,1,100.0,53.0
DS Smith,New Zealand,44,72,2,61.111111111111114,22.0
DS Smith,Pakistan,73,136,7,53.67647058823529,10.428571428571429
DS Smith,South Africa,195,211,5,92.41706161137441,39.0
DS Smith,Sri Lanka,14,45,2,31.11111111111111,7.0
DS Smith,Zimbabwe,7,21,3,33.33333333333333,2.3333333333333335
DS Weerakkody,South Africa,73,67,3,108.95522388059702,24.333333333333332
DSK Madushanka,Bangladesh,7,6,1,116.66666666666667,7.0
DT Christian,England,23,20,1,114.99999999999999,23.0
DT Christian,India,110,106,2,103.77358490566037,55.0
DT Christian,Pakistan,23,31,2,74.19354838709677,11.5
DT Christian,Sri Lanka,81,109,6,74.31192660550458,13.5
DT Christian,West Indies,36,47,2,76.59574468085107,18.0
DT Hondo,Australia,2,3,0,66.66666666666666,
DT Hondo,England,7,18,2,38.88888888888889,3.5
DT Hondo,India,2,10,2,20.0,1.0
DT Hondo,Kenya,0,15,0,0.0,
DT Hondo,Pakistan,10,49,2,20.408163265306122,5.0
DT Hondo,South Africa,12,8,0,150.0,
DT Hondo,Sri Lanka,2,10,2,20.0,1.0
DT Johnston,Afghanistan,6,12,1,50.0,6.0
DT Johnston,Australia,18,35,2,51.42857142857142,9.0
DT Johnston,Bangladesh,36,34,3,105.88235294117648,12.0
DT Johnston,Canada,38,41,1,92.6829268292683,38.0
DT Johnston,England,71,57,2,124.56140350877195,35.5
DT Johnston,India,51,69,2,73.91304347826086,25.5
DT Johnston,Kenya,17,28,2,60.71428571428571,8.5
DT Johnston,Netherlands,10,9,1,111.11111111111111,10.0
DT Johnston,New Zealand,13,20,1,65.0,13.0
DT Johnston,Pakistan,17,26,1,65.38461538461539,17.0
DT Johnston,Scotland,24,34,1,70.58823529411765,24.0
DT Johnston,South Africa,34,43,2,79.06976744186046,17.0
DT Johnston,Sri Lanka,0,4,1,0.0,0.0
DT Johnston,Zimbabwe,32,73,1,43.83561643835616,32.0
DT Tiripano,Afghanistan,21,24,3,87.5,7.0
DT Tiripano,Australia,3,12,1,25.0,3.0
DT Tiripano,Bangladesh,77,71,4,108.45070422535213,19.25
DT Tiripano,India,22,46,2,47.82608695652174,11.0
DT Tiripano,Ireland,35,52,2,67.3076923076923,17.5
DT Tiripano,Netherlands,37,74,1,50.0,37.0
DT Tiripano,Pakistan,70,125,3,56.00000000000001,23.333333333333332
DT Tiripano,South Africa,41,54,1,75.92592592592592,41.0
DT Tiripano,Sri Lanka,29,59,2,49.152542372881356,14.5
DT Tiripano,West Indies,29,42,2,69.04761904761905,14.5
DW Steyn,Asia XI,4,16,2,25.0,2.0
DW Steyn,Australia,42,64,8,65.625,5.25
DW Steyn,England,67,91,4,73.62637362637363,16.75
DW Steyn,India,89,103,9,86.40776699029125,9.88888888888889
DW Steyn,New Zealand,14,39,5,35.8974358974359,2.8
DW Steyn,Pakistan,42,85,6,49.411764705882355,7.0
DW Steyn,Sri Lanka,24,41,2,58.536585365853654,12.0
DW Steyn,West Indies,9,23,1,39.130434782608695,9.0
DW Steyn,Zimbabwe,74,130,2,56.92307692307692,37.0
Danish Aziz,South Africa,12,22,2,54.54545454545454,6.0
Danish Kaneria,England,2,4,1,50.0,2.0
Danish Kaneria,New Zealand,0,5,1,0.0,0.0
Danish Kaneria,South Africa,1,2,0,50.0,
Danish Kaneria,Zimbabwe,6,4,0,150.0,
Davis Joseph,Bangladesh,9,18,0,50.0,
Davis Joseph,Kenya,4,8,0,50.0,
Davis Joseph,West Indies,0,1,1,0.0,0.0
Dawlat Zadran,Australia,12,28,3,42.857142857142854,4.0
Dawlat Zadran,Bangladesh,6,18,3,33.33333333333333,2.0
Dawlat Zadran,Hong Kong,40,31,1,129.03225806451613,40.0
Dawlat Zadran,India,2,18,0,11.11111111111111,
Dawlat Zadran,Ireland,126,151,6,83.44370860927152,21.0
Dawlat Zadran,Netherlands,4,13,1,30.76923076923077,4.0
Dawlat Zadran,New Zealand,1,5,1,20.0,1.0
Dawlat Zadran,Pakistan,12,20,2,60.0,6.0
Dawlat Zadran,Scotland,24,39,1,61.53846153846154,24.0
Dawlat Zadran,Sri Lanka,10,32,3,31.25,3.3333333333333335
Dawlat Zadran,United Arab Emirates,3,5,0,60.0,
Dawlat Zadran,West Indies,10,11,2,90.9090909090909,5.0
Dawlat Zadran,Zimbabwe,176,201,5,87.56218905472637,35.2
Dhiman Ghosh,Australia,32,50,3,64.0,10.666666666666666
Dhiman Ghosh,Pakistan,74,102,4,72.54901960784314,18.5
Dhiman Ghosh,South Africa,18,53,3,33.9622641509434,6.0
Dolar Mahmud,India,0,1,1,0.0,0.0
Dolar Mahmud,Pakistan,0,4,1,0.0,0.0
Dolar Mahmud,United Arab Emirates,20,9,1,222.22222222222223,20.0
