striker,venue,runs_scored,balls_faced,dismissals,strike_rate,average
AD Mathews,"Sabina Park, Kingston",99,111,0,89.1891891891892,
AD Mathews,"Sardar Patel Stadium, Motera",92,103,1,89.32038834951457,92.0
AD Mathews,Saxton Oval,0,1,1,0.0,0.0
AD Mathews,Seddon Park,39,47,0,82.97872340425532,
AD Mathews,"Seddon Park, Hamilton",0,8,1,0.0,0.0
AD Mathews,Sharjah Cricket Stadium,75,88,3,85.22727272727273,25.0
AD Mathews,Sheikh Zayed Stadium,129,225,4,57.333333333333336,32.25
AD Mathews,Shere Bangla National Stadium,216,244,3,88.52459016393442,72.0
AD Mathews,"Shere Bangla National Stadium, Mirpur",42,66,1,63.63636363636363,42.0
AD Mathews,Sinhalese Sports Club Ground,41,27,3,151.85185185185185,13.666666666666666
