striker,bowler,runs_scored,balls_faced,dismissals,strike_rate,average
A Symonds,Umar Gul,8,10,0,80.0,
A Symonds,V Sehwag,14,19,0,73.68421052631578,
A Symonds,VC Drakes,37,43,0,86.04651162790698,
A Symonds,WPUJC Vaas,56,78,4,71.7948717948718,14.0
A Symonds,WW Hinds,5,10,1,50.0,5.0
A Symonds,Waqar Younis,18,19,0,94.73684210526315,
A Symonds,Wasim Akram,19,9,0,211.11111111111111,
A Symonds,Yasir Arafat,3,7,0,42.857142857142854,
A Symonds,Younis Khan,22,18,0,122.22222222222223,
A Symonds,Yuvraj Singh,84,59,1,142.3728813559322,84.0
A Symonds,Z Khan,57,43,2,132.5581395348837,28.5
A Vala,AC Evans,9,16,0,56.25,
A Vala,AM Tribe,5,2,0,250.0,
A Vala,AR McBrine,0,2,1,0.0,0.0
A Vala,AR Nurse,10,11,0,90.9090909090909,
A Vala,Aarif Sheikh,19,53,0,35.84905660377358,
A Vala,Aayan Afzal Khan,12,13,1,92.3076923076923,12.0
A Vala,Ahmed Raza,29,48,0,60.416666666666664,
A Vala,Aizaz Khan,25,26,1,96.15384615384616,25.0
A Vala,Ali Khan,21,21,1,100.0,21.0
A Vala,Amir Hayat,1,3,0,33.33333333333333,
A Vala,Anshuman Rath,20,22,1,90.9090909090909,20.0
A Vala,Aqib Ilyas,26,36,0,72.22222222222221,
A Vala,Aryan Lakra,10,9,0,111.11111111111111,
A Vala,Ayan Khan,0,1,0,0.0,
A Vala,B Ward,9,9,0,100.0,
A Vala,BM Scholtz,36,42,1,85.71428571428571,36.0
A Vala,Basil Hameed,30,38,1,78.94736842105263,30.0
A Vala,Bikram Sob,2,10,2,20.0,1.0
A Vala,Bilal Khan,31,44,1,70.45454545454545,31.0
A Vala,CAH Stevenson,13,22,0,59.09090909090909,
A Vala,CG Williams,26,33,1,78.78787878787878,26.0
A Vala,CP Rizwan,6,8,0,75.0,
A Vala,CR Brathwaite,4,14,1,28.57142857142857,4.0
A Vala,CS MacLeod,12,19,1,63.1578947368421,12.0
A Vala,CW Perchard,13,23,1,56.52173913043478,13.0
A Vala,D Heyliger,7,23,0,30.434782608695656,
A Vala,D Khanal,1,1,0,100.0,
A Vala,DG Blampied,15,20,0,75.0,
A Vala,DS Airee,53,95,1,55.78947368421052,53.0
A Vala,EH Hutchinson,8,13,0,61.53846153846154,
A Vala,EJB Miles,11,16,0,68.75,
A Vala,Ehsan Khan,26,41,2,63.41463414634146,13.0
A Vala,Ehsan Nawaz,7,15,0,46.666666666666664,
A Vala,Fayyaz Butt,12,11,0,109.09090909090908,
A Vala,G Malla,2,3,1,66.66666666666666,2.0
A Vala,G Singh,9,16,1,56.25,9.0
A Vala,GT Main,18,20,0,90.0,
A Vala,H Carlyon,12,26,0,46.15384615384615,
A Vala,H Thaker,10,23,1,43.47826086956522,10.0
